Log_Reg_L1	Log_Reg_L2	Log_Reg_EN	Random_Forest	K_nearest_Neighbors	SVC
0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523
0.95	0.95	0.95	0.95	0.95	0.95
1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0
0.975609756097561	0.975609756097561	0.975609756097561	0.975609756097561	0.975609756097561	0.975609756097561
0.9534883720930233	0.9534883720930233	0.9534883720930233	0.9534883720930233	0.9534883720930233	0.9534883720930233
0.9318181818181818	0.9318181818181818	0.9318181818181818	0.9318181818181818	0.9318181818181818	0.9318181818181818
1.0	1.0	1.0	1.0	1.0	1.0
0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762
0.975609756097561	0.975609756097561	0.975609756097561	0.975609756097561	0.975609756097561	0.975609756097561
