Log_Reg_L1	Log_Reg_L2	Log_Reg_EN	Random_Forest	K_nearest_Neighbors	SVC
0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523
0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048
0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523
0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762
0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523
0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762
0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762
0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523
0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762	0.9761904761904762
0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.9523809523809523
